City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Libas,PH,76.75,moderate rain,9.8833,125.9833,Bakhaw Bed and Breakfast
10,Pontianak,ID,78.78,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
11,Madang,PG,85.44,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
16,Mogadishu,SO,84.07,broken clouds,2.0371,45.3438,Hotel Juba
18,Tezu,IN,78.19,clear sky,27.9167,96.1667,Circuit House
19,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
24,Vao,NC,76.68,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
27,Sao Filipe,CV,76.62,broken clouds,14.8961,-24.4956,Hotel Xaguate
31,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
35,Butaritari,KI,81.7,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
37,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Karratha,AU,79.48,few clouds,-20.7377,116.8463,ibis Styles Karratha
45,Jati,PK,85.51,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
47,Bundaberg,AU,80.22,broken clouds,-24.85,152.35,Takalvan Motel
50,Bandarbeyla,SO,81.45,clear sky,9.4942,50.8122,JABIR HOTEL
61,Luangwa,ZM,84.92,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
69,Singapore,SG,87.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
71,Thongwa,MM,89.76,broken clouds,16.7619,96.5278,Mhaw Wun Marlar Park
72,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
77,Iralaya,HN,78.87,light rain,15.0,-83.2333,Iglesia morava renovada
85,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Morant Bay,JM,78.37,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
90,Vaitape,PF,79.92,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
91,Kavieng,PG,84.07,light rain,-2.5744,150.7967,Nusa Island Retreat
102,Taganak,PH,84.34,overcast clouds,6.0833,118.3,Taganak
105,Atuona,PF,78.12,few clouds,-9.8,-139.0333,Villa Enata
109,Maragogi,BR,75.67,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
112,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,Le four à pain
115,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
119,Keti Bandar,PK,83.57,clear sky,24.1447,67.4497,Haji laloo memon house
122,Murwara,IN,77.32,clear sky,23.85,80.4,HOTEL BRIJWASI ROYAL
126,Victoria,HK,86.18,scattered clouds,22.2855,114.1577,Mini Central
131,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
132,Lalsot,IN,76.55,clear sky,26.5667,76.3333,Sharma Hotel
133,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
149,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
152,Boueni,YT,82.38,broken clouds,-12.9025,45.0761,The feet in water
153,Faanui,PF,79.95,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,Katherine,AU,79.12,light rain,-14.4667,132.2667,Pine Tree Motel
158,Langsa,ID,80.76,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
165,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
176,Roebourne,AU,83.14,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
178,Bengkulu,ID,81.46,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
179,Isangel,VU,81.16,overcast clouds,-19.55,169.2667,Tanna Lodge
180,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Pedasi,PA,77.07,light rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
185,Kroya,ID,80.19,broken clouds,-7.6331,109.2461,Wisma Legoq Kost
188,Nieuw Nickerie,SR,78.51,overcast clouds,5.95,-56.9833,Ishwardat Inn
189,Hithadhoo,MV,81.48,broken clouds,-0.6,73.0833,Scoop Guest House
194,Dingle,PH,84.04,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
198,Champerico,GT,79.39,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
199,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
206,Weligama,LK,85.32,broken clouds,5.9667,80.4167,Weligama Bay Resort
211,Oussouye,SN,76.1,scattered clouds,12.485,-16.5469,Auberge du Routard
216,Maoming,CN,83.75,scattered clouds,21.65,110.9,Jinhui Hotel
218,Bosaso,SO,80.58,clear sky,11.2842,49.1816,Red Sea Hotel
219,Domoni,KM,81.64,scattered clouds,-12.2569,44.5319,Al Djadid
226,Tabou,CI,76.46,scattered clouds,4.423,-7.3528,hotêl doufoulougou
227,Kudahuvadhoo,MV,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
229,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
242,Phan Thiet,VN,89.29,broken clouds,10.9333,108.1,Hotel Saigon-PT
246,Sinnamary,GF,77.04,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
251,Jasidih,IN,80.28,clear sky,24.5167,86.65,OYO 18873 Hotel Comfort
255,Namatanai,PG,83.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
257,Ambilobe,MG,84.99,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
263,Trat,TH,86.2,overcast clouds,12.5,102.5,สวนหนิง-อัศ
264,Samarai,PG,85.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
269,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
270,Hobyo,SO,82.85,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
271,Tura,IN,77.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
280,Salur,IN,82.02,clear sky,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
290,Haapiti,PF,80.33,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
297,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
305,Mackay,AU,84.69,broken clouds,-21.15,149.2,International Lodge Motel
314,Amahai,ID,85.59,light rain,-3.3333,128.9167,HOTEL ISABELA
315,Kimbe,PG,84.49,light rain,-5.5502,150.1429,Kimbe Bay Hotel
317,Nacala,MZ,84.09,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
321,Saint-Joseph,RE,77.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
328,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
331,Tautira,PF,77.9,broken clouds,-17.7333,-149.15,Pension Oaoa
341,Buluang,PH,83.89,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
343,Bahia Honda,CU,75.76,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
347,Jertih,MY,86.79,overcast clouds,5.7336,102.4897,One Utama Hotel
356,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
361,Road Town,VG,78.89,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
362,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
363,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
364,Sarangani,PH,80.62,light rain,5.4033,125.4636,JVL Inn and Cafeteria
365,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
366,Chenghai,CN,82.31,few clouds,23.4632,116.768,Guangdong Hotel
377,Waingapu,ID,86.85,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
380,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
381,Progreso,MX,77.05,light rain,21.2833,-89.6667,Playa Linda Hotel
386,Grand Gaube,MU,79.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
387,Trincomalee,LK,81.0,overcast clouds,8.5711,81.2335,Welcombe Hotel
388,Banda Aceh,ID,86.09,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
390,Touros,BR,76.91,clear sky,-5.1989,-35.4608,INN NEW HORIZON
392,Farafangana,MG,78.3,overcast clouds,-22.8167,47.8333,Miarina
393,Sainte-Rose,GP,76.17,few clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
401,Payo,ID,88.12,overcast clouds,-3.7508,103.6372,Mess keban agung
403,Sambava,MG,78.87,light rain,-14.2667,50.1667,Melrose
412,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
414,Catamarca,AR,83.07,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
415,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
416,Sal Rei,CV,76.01,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
420,Juba,SS,80.94,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
422,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
426,Waw,SS,79.75,broken clouds,7.7029,27.9953,Universal Gab Hotel
428,Morondava,MG,81.97,clear sky,-20.2833,44.2833,La Case Bambou
430,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
446,Negara,ID,85.64,broken clouds,-8.3151,114.6025,Villa Maya West Bali
447,Sharjah,AE,82.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
449,Sabang,ID,81.95,overcast clouds,5.8933,95.3214,Hotel Citra
454,Sulangan,PH,80.46,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
455,Wewak,PG,85.05,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
457,Ca Mau,VN,86.0,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
460,Tulagi,SB,83.68,scattered clouds,-9.0996,160.1476,Vanita Motel & Restaurant
465,Vangaindrano,MG,76.51,light rain,-23.35,47.6,Hotel Fanilo
468,Port Moresby,PG,85.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
470,Honiara,SB,83.12,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
472,Maturin,VE,75.04,overcast clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
474,Ban Phai,TH,89.82,few clouds,16.06,102.731,Inpawa Hotel
479,Kiunga,PG,85.32,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
480,Purna,IN,78.69,clear sky,19.1833,77.05,N G tea Stall
482,Delmas,HT,75.92,broken clouds,18.5447,-72.3028,Idéal Villa Hôtel
490,Daru,PG,85.23,overcast clouds,-9.0763,143.2092,Daru Lodge
