City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint Anthony,US,45.0205,-93.218,21.9,86,100,9.22,snow
1,Coahuayana,MX,18.7333,-103.6833,74.17,87,1,3.49,clear sky
2,Lagunas,PE,-5.2269,-75.6753,67.73,99,97,1.68,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.89,90,100,20.78,moderate rain
4,Pevek,RU,69.7008,170.3133,-2.69,99,97,5.06,overcast clouds
5,Libas,PH,9.8833,125.9833,76.75,89,100,6.24,moderate rain
6,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,6.91,clear sky
7,Mataura,NZ,-46.1927,168.8643,58.48,89,97,3.47,light rain
8,Jamestown,US,42.097,-79.2353,32.02,77,100,16.11,light snow
9,Albany,US,42.6001,-73.9662,36.57,89,63,7.58,broken clouds
10,Pontianak,ID,-0.0333,109.3333,78.78,94,75,6.91,light rain
11,Madang,PG,-5.2246,145.7966,85.44,69,100,7.9,overcast clouds
12,Bethel,US,41.3712,-73.414,39.51,73,0,8.05,clear sky
13,Yellowknife,CA,62.456,-114.3525,5.56,92,75,3.44,broken clouds
14,Gamba,GA,-2.65,10.0,74.43,91,99,7.94,light rain
15,Port Lincoln,AU,-34.7333,135.8667,63.81,60,3,16.49,clear sky
16,Mogadishu,SO,2.0371,45.3438,84.07,84,75,11.5,broken clouds
17,Bluff,NZ,-46.6,168.3333,58.8,95,99,14.81,overcast clouds
18,Tezu,IN,27.9167,96.1667,78.19,30,6,3.51,clear sky
19,Vaini,TO,-21.2,-175.2,78.96,78,75,2.3,light intensity shower rain
20,Mabaruma,GY,8.2,-59.7833,73.87,96,100,1.74,overcast clouds
21,Colac,AU,-38.3333,143.5833,61.18,71,100,2.93,overcast clouds
22,Tanta,EG,30.7885,31.0019,63.27,69,1,5.37,clear sky
23,Busselton,AU,-33.65,115.3333,62.87,55,79,20.18,broken clouds
24,Vao,NC,-22.6667,167.4833,76.68,84,95,11.81,overcast clouds
25,Aklavik,CA,68.2191,-135.0107,6.93,77,66,4.03,broken clouds
26,New Richmond,US,45.123,-92.5366,22.44,93,100,3.44,overcast clouds
27,Sao Filipe,CV,14.8961,-24.4956,76.62,71,69,3.74,broken clouds
28,Ushuaia,AR,-54.8,-68.3,53.26,28,0,9.22,clear sky
29,Bredasdorp,ZA,-34.5322,20.0403,62.51,57,99,5.48,overcast clouds
30,Hilo,US,19.7297,-155.09,73.13,91,100,1.99,overcast clouds
31,Oistins,BB,13.0667,-59.5333,80.69,83,40,13.8,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,65.37,65,20,17.27,few clouds
33,Nanortalik,GL,60.1432,-45.2371,19.24,74,13,20.36,few clouds
34,Caravelas,BR,-17.7125,-39.2481,71.53,96,100,4.29,light rain
35,Butaritari,KI,3.0707,172.7902,81.7,77,42,12.86,scattered clouds
36,Mahon,ES,39.8885,4.2658,66.76,72,20,11.5,few clouds
37,Kapaa,US,22.0752,-159.319,75.52,81,20,13.8,few clouds
38,Airai,TL,-8.9266,125.4092,75.6,54,91,3.49,overcast clouds
39,Corinto,GR,37.9407,22.9573,65.89,71,71,5.37,broken clouds
40,Valdivia,CL,-39.8142,-73.2459,50.09,92,82,0.87,broken clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,62.83,87,100,5.99,light rain
42,Carnarvon,AU,-24.8667,113.6333,69.35,54,50,19.28,scattered clouds
43,Kidal,ML,18.4411,1.4078,65.05,21,36,8.61,scattered clouds
44,Karratha,AU,-20.7377,116.8463,79.48,44,19,21.09,few clouds
45,Jati,PK,24.3539,68.2671,85.51,31,0,1.77,clear sky
46,Qaanaaq,GL,77.484,-69.3632,-8.05,84,98,5.17,overcast clouds
47,Bundaberg,AU,-24.85,152.35,80.22,37,84,4.0,broken clouds
48,Shimoda,JP,34.6667,138.95,62.96,54,84,5.93,broken clouds
49,Kijang,KR,35.2442,129.2139,64.13,40,100,2.71,overcast clouds
50,Bandarbeyla,SO,9.4942,50.8122,81.45,62,5,15.79,clear sky
51,Muros,ES,42.7762,-9.0603,59.09,82,98,18.39,overcast clouds
52,Port Shepstone,ZA,-30.7414,30.455,71.62,74,83,5.73,broken clouds
53,Bahia Blanca,AR,-38.7196,-62.2724,63.28,71,40,5.01,scattered clouds
54,Orje,NO,59.4802,11.6602,33.37,82,99,9.48,overcast clouds
55,Aguimes,ES,27.9054,-15.4461,69.66,49,0,9.22,clear sky
56,Castro,BR,-24.7911,-50.0119,51.39,88,1,5.84,clear sky
57,Kizlyar,RU,43.8469,46.715,49.15,82,100,5.1,overcast clouds
58,Bonavista,CA,48.6499,-53.1147,33.3,79,99,6.33,light snow
59,Henties Bay,NA,-22.116,14.2845,60.58,88,40,1.34,scattered clouds
60,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,28,0,9.22,clear sky
61,Luangwa,ZM,-15.6167,30.4167,84.92,47,39,7.14,scattered clouds
62,Baykit,RU,61.67,96.37,-2.45,92,27,3.09,scattered clouds
63,Port Elizabeth,ZA,-33.918,25.5701,67.1,75,0,17.0,clear sky
64,Whitehorse,CA,60.7161,-135.0538,16.57,92,100,10.36,overcast clouds
65,San Patricio,US,28.017,-97.5169,52.84,60,100,8.61,overcast clouds
66,Bavleny,RU,56.4,39.56,23.49,90,100,6.35,overcast clouds
67,Nova Gradiska,HR,45.255,17.3831,48.09,94,74,0.22,broken clouds
68,Leningradskiy,RU,69.3833,178.4167,6.03,95,99,2.17,overcast clouds
69,Singapore,SG,1.2897,103.8501,87.75,67,75,4.61,broken clouds
70,Hilton Head Island,US,32.2163,-80.7526,48.97,81,0,8.05,clear sky
71,Thongwa,MM,16.7619,96.5278,89.76,56,71,5.55,broken clouds
72,Mount Isa,AU,-20.7333,139.5,87.57,19,63,10.36,broken clouds
73,Awjilah,LY,29.1081,21.2869,60.91,40,0,11.5,clear sky
74,Klamath Falls,US,42.2249,-121.7817,30.87,86,0,3.44,clear sky
75,Turayf,SA,31.6725,38.6637,48.45,100,20,4.61,few clouds
76,Torbay,CA,47.6666,-52.7314,34.75,84,100,10.36,overcast clouds
77,Iralaya,HN,15.0,-83.2333,78.87,85,89,9.57,light rain
78,Cidreira,BR,-30.1811,-50.2056,63.68,64,0,3.62,clear sky
79,Roma,US,43.2128,-75.4557,36.36,94,100,5.75,light snow
80,Ribeira Grande,PT,38.5167,-28.7,61.77,62,63,7.0,broken clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,73,0,10.36,clear sky
82,Salisbury,GB,51.0693,-1.7957,48.02,89,100,16.11,overcast clouds
83,Campbell River,CA,50.0163,-125.2446,38.44,100,100,2.3,fog
84,Harlingen,US,26.1906,-97.6961,48.11,95,100,16.11,light rain
85,Mahebourg,MU,-20.4081,57.7,78.26,57,75,3.44,broken clouds
86,Hobart,AU,-42.8794,147.3294,62.28,63,20,18.41,few clouds
87,Morant Bay,JM,17.8815,-76.4093,78.37,85,74,9.24,broken clouds
88,Te Anau,NZ,-45.4167,167.7167,56.14,95,100,3.53,overcast clouds
89,Longyearbyen,SJ,78.2186,15.6401,22.84,68,40,10.36,scattered clouds
90,Vaitape,PF,-16.5167,-151.75,79.92,70,100,0.85,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,84.07,71,93,8.12,light rain
92,Barrow,US,71.2906,-156.7887,24.82,74,0,16.11,clear sky
93,Port Alfred,ZA,-33.5906,26.891,67.17,83,88,3.0,overcast clouds
94,Avarua,CK,-21.2078,-159.775,73.45,78,35,9.22,scattered clouds
95,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,71,0,5.75,clear sky
96,Lompoc,US,34.6391,-120.4579,53.58,73,0,9.22,clear sky
97,Nikolskoye,RU,59.7035,30.7861,35.49,96,100,7.61,light snow
98,Sitka,US,57.0531,-135.33,42.69,81,0,3.44,clear sky
99,Saskylakh,RU,71.9167,114.0833,-28.55,99,100,3.67,overcast clouds
100,Canutama,BR,-6.5339,-64.3831,72.61,96,88,0.92,overcast clouds
101,Setermoen,NO,68.861,18.3486,30.43,39,13,7.78,few clouds
102,Taganak,PH,6.0833,118.3,84.34,73,100,10.83,overcast clouds
103,Verkhnevilyuysk,RU,63.4453,120.3167,7.63,96,100,1.95,overcast clouds
104,Hermanus,ZA,-34.4187,19.2345,61.23,64,95,7.29,overcast clouds
105,Atuona,PF,-9.8,-139.0333,78.12,75,13,16.35,few clouds
106,Korla,CN,41.7597,86.1469,44.01,42,100,7.92,overcast clouds
107,Ikom,NG,5.9667,8.7063,73.26,92,98,1.28,overcast clouds
108,Ixtapa,MX,20.7,-105.2,73.22,81,2,3.0,clear sky
109,Maragogi,BR,-9.0122,-35.2225,75.67,85,45,5.88,scattered clouds
110,Ponta Do Sol,PT,32.6667,-17.1,69.71,84,88,6.73,overcast clouds
111,Japura,ID,-0.3167,102.35,90.05,52,100,6.76,moderate rain
112,Saint-Philippe,RE,-21.3585,55.7679,78.39,65,23,7.29,few clouds
113,Kutum,SD,14.2,24.6667,62.13,29,36,7.63,scattered clouds
114,New Norfolk,AU,-42.7826,147.0587,60.91,45,90,1.99,overcast clouds
115,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
116,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,22.95,light rain
117,Bichena,ET,10.45,38.2,57.76,46,33,5.17,scattered clouds
118,Cururupu,BR,-1.8283,-44.8683,74.95,89,96,3.36,overcast clouds
119,Keti Bandar,PK,24.1447,67.4497,83.57,48,0,5.48,clear sky
120,Iqaluit,CA,63.7506,-68.5145,10.13,85,100,10.36,light snow
121,Pechenga,RU,69.5259,31.1703,23.95,78,59,5.59,broken clouds
122,Murwara,IN,23.85,80.4,77.32,40,0,8.9,clear sky
123,Sedalia,US,38.7045,-93.2283,21.33,86,0,5.75,clear sky
124,Bud,US,39.447,-86.1758,30.9,83,84,13.73,broken clouds
125,Straumen,NO,63.8709,11.2999,30.2,60,1,4.45,clear sky
126,Victoria,HK,22.2855,114.1577,86.18,78,25,5.99,scattered clouds
127,Bijie,CN,27.3125,105.2942,62.47,61,79,12.48,broken clouds
128,Merauke,ID,-8.4667,140.3333,84.33,73,100,6.11,moderate rain
129,Tignere,CM,7.3667,12.65,67.06,47,46,1.63,scattered clouds
130,Mattru,SL,7.6244,-11.8332,70.54,97,40,2.24,scattered clouds
131,Ewa Beach,US,21.3156,-158.0072,76.98,67,0,8.05,clear sky
132,Lalsot,IN,26.5667,76.3333,76.55,23,0,5.19,clear sky
133,Georgetown,MY,5.4112,100.3354,87.75,81,20,9.22,few clouds
134,Taoudenni,ML,22.6783,-3.9836,68.41,21,0,6.46,clear sky
135,Tiksi,RU,71.6872,128.8694,-16.02,99,99,4.81,overcast clouds
136,Elat,IL,29.5581,34.9482,60.64,77,59,4.61,haze
137,Arlit,NE,18.7369,7.3853,65.48,21,37,4.79,scattered clouds
138,Khatanga,RU,71.9667,102.5,-29.02,100,94,6.76,overcast clouds
139,Dombarovskiy,RU,50.7587,59.5386,24.89,87,91,7.45,overcast clouds
140,Mangan,IN,27.5167,88.5333,70.9,50,33,7.52,scattered clouds
141,Codrington,AU,-38.2667,141.9667,58.15,68,55,11.21,broken clouds
142,Sorland,NO,67.667,12.6934,46.26,54,47,9.46,scattered clouds
143,East London,ZA,-33.0153,27.9116,65.34,94,75,5.75,broken clouds
144,Diego De Almagro,CL,-26.3667,-70.05,60.67,61,0,0.36,clear sky
